"","YEAR","SEX","RACE","EDUC","AGE"
"481",1974,1,1,13,26
"482",1974,1,1,13,76
"483",1974,1,1,12,42
"484",1974,2,1,12,38
"485",1974,2,1,15,56
"486",1974,1,1,12,28
"487",1974,1,1,15,39
"488",1974,2,1,12,52
"489",1974,2,2,13,21
"490",1974,2,1,12,21
"491",1974,1,2,11,18
"492",1974,1,2,13,37
"493",1974,2,2,15,48
"494",1974,2,2,10,28
"495",1974,2,2,12,23
"496",1974,1,1,12,22
"497",1974,1,1,9,73
"498",1974,2,1,8,86
"499",1974,2,1,11,32
"500",1974,2,1,11,46
"501",1974,1,1,12,23
"502",1974,1,1,12,40
"503",1974,2,1,12,32
"504",1974,2,1,10,32
"505",1974,2,1,12,31
"506",1974,1,1,13,33
"507",1974,1,1,12,48
"508",1974,1,1,13,73
"509",1974,2,1,12,43
"510",1974,2,1,12,51
"511",1974,1,1,14,24
"512",1974,1,1,8,43
"513",1974,2,1,8,65
"514",1974,2,1,12,73
"515",1974,2,1,16,70
"516",1974,1,1,20,35
"517",1974,1,1,10,38
"518",1974,1,1,9,41
"519",1974,2,1,12,34
"520",1974,2,2,12,31
"521",1974,1,1,12,26
"522",1974,1,1,5,57
"523",1974,1,1,9,42
"524",1974,2,1,10,47
"525",1974,2,1,9,27
"526",1974,1,2,13,38
"527",1974,1,1,10,72
"528",1974,2,1,12,38
"529",1974,2,1,12,66
"530",1974,2,1,14,20
"531",1974,1,1,12,23
"532",1974,1,1,16,46
"533",1974,2,1,16,28
"534",1974,2,1,14,28
"535",1974,2,1,16,31
"536",1974,1,2,12,32
"537",1974,1,2,9,46
"538",1974,2,2,15,29
"539",1974,2,2,13,37
"540",1974,2,2,12,31
"541",1974,1,1,13,31
"542",1974,1,1,14,74
"543",1974,2,1,16,40
"544",1974,2,1,12,78
"545",1974,2,1,12,30
"546",1974,1,1,12,24
"547",1974,1,1,7,61
"548",1974,1,1,18,39
"549",1974,2,1,9,27
"550",1974,2,1,12,22
"551",1974,1,1,17,26
"552",1974,1,1,9,59
"553",1974,2,1,14,26
"554",1974,2,1,16,27
"555",1974,2,1,16,58
"556",1974,1,1,14,50
"557",1974,1,1,10,45
"558",1974,2,1,13,67
"559",1974,2,1,15,23
"560",1974,2,1,19,61
"561",1974,1,1,8,35
"562",1974,2,2,9,38
"563",1974,2,2,8,62
"564",1974,2,2,5,60
"565",1974,1,1,12,69
